sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0042,Storage,Hangers,2019-12-01,2646.12,3916.86
SKU0043,Bedding,Duvets,2019-09-01,824.87,1400.07
SKU0044,Storage,Baskets,2021-04-01,3349.45,9735.36
SKU0045,Storage,Boxes,2021-10-01,509.98,780.87
SKU0046,Storage,Hangers,2021-06-01,7490.71,12935.07
SKU0047,Small Appliances,Blenders,2020-07-01,1220.85,2970.09
SKU0048,Bedding,Bed Sheets,2019-01-01,3774.63,11314.56
SKU0049,Furnishings,Sofas,2021-04-01,4145.9,6682.9
SKU0050,Furnishings,Tables,2020-05-01,1430.43,3910.78
SKU0051,Storage,Hangers,2019-11-01,6573.41,12351.48
SKU0052,Furnishings,Tables,2020-02-01,7139.76,18476.75
SKU0053,Small Appliances,Kettles,2019-12-01,2874.47,7186.16
SKU0054,Small Appliances,Kettles,2020-05-01,7261.62,19996.8
SKU0055,Furnishings,Shelving,2020-01-01,227.66,599.61
SKU0056,Small Appliances,Blenders,2021-08-01,4503.11,9385.83
SKU0057,Furnishings,Sofas,2019-12-01,7250.64,16480.3
SKU0058,Storage,Hangers,2019-07-01,1194.08,2260.65
SKU0059,Furnishings,Chairs,2019-11-01,2146.33,3357.87
SKU0060,Bedding,Duvets,2019-03-01,7814.41,21077.3
SKU0061,Bedding,Pillows,2019-12-01,7411.0,19652.63
SKU0062,Bedding,Duvets,2020-03-01,6341.52,9974.91
SKU0063,Furnishings,Shelving,2019-04-01,6569.38,14035.38
SKU0064,Decor,Vases,2019-11-01,1706.41,3285.21
SKU0065,Small Appliances,Toasters,2021-09-01,3317.49,9852.41
SKU0066,Storage,Organisers,2019-02-01,7040.9,12799.96
SKU0067,Storage,Organisers,2019-02-01,4853.26,9478.9
SKU0068,Small Appliances,Air Fryers,2021-09-01,1102.04,3128.92
SKU0069,Decor,Mirrors,2019-12-01,3601.25,8037.53
SKU0070,Decor,Mirrors,2020-02-01,7601.22,21840.08
SKU0071,Furnishings,Chairs,2021-05-01,5401.76,10381.6
SKU0072,Storage,Boxes,2019-07-01,5386.45,10808.63
SKU0073,Decor,Rugs,2021-05-01,3367.39,9206.31
SKU0074,Decor,Clocks,2021-10-01,5306.7,11377.46
SKU0075,Decor,Rugs,2020-12-01,1523.59,2339.74
SKU0076,Storage,Organisers,2019-04-01,5447.81,9585.01
SKU0077,Decor,Vases,2019-01-01,2109.77,4557.56
SKU0078,Furnishings,Shelving,2020-11-01,4690.23,11957.05
SKU0079,Bedding,Duvets,2019-11-01,5563.45,15734.86
SKU0080,Furnishings,Shelving,2019-03-01,6472.06,16267.26
SKU0081,Storage,Boxes,2019-08-01,1240.05,2657.96
SKU0082,Storage,Hangers,2021-06-01,7610.31,21508.88
SKU0083,Storage,Hangers,2020-09-01,3678.13,6086.03
SKU0084,Bedding,Mattress Toppers,2020-04-01,6750.93,12446.68
SKU0085,Storage,Racks,2021-04-01,2341.86,3568.93
SKU0086,Small Appliances,Blenders,2020-06-01,2693.73,6099.26
SKU0087,Décor,Vases,2019-07-01,5612.81,14201.93
SKU0088,Small Appliances,Kettles,2020-07-01,685.67,1873.68
SKU0089,Bedding,Pillows,2021-07-01,3920.44,11402.16
SKU0090,Small Appliances,Air Fryers,2020-09-01,6030.62,13712.49
SKU0091,Storage,Boxes,2020-04-01,2328.9,5070.08
SKU0092,Bedding,Bed Sheets,2021-11-01,6425.51,16440.89
SKU0093,Bedding,Duvets,2021-09-01,410.34,833.17
SKU0094,Storage,Baskets,2019-11-01,3543.18,9874.71
SKU0095,Decor,Lighting,2020-07-01,2753.35,5857.8
SKU0096,Bedding,Bed Sheets,2020-05-01,6712.31,14448.19
SKU0097,Storage,Baskets,2020-04-01,5271.12,13968.33
SKU0098,Furnishings,Sofas,2019-04-01,6745.99,16150.82
SKU0099,Bedding,Pillows,2021-04-01,3827.27,6927.32
SKU0100,Small Appliances,Blenders,2021-10-01,7717.13,19673.83
SKU0101,Decor,Mirrors,2019-10-01,400.29,760.2
SKU0102,Bedding,Mattress Toppers,2021-04-01,792.77,1985.88
SKU0103,Decor,Lighting,2021-05-01,6832.29,16128.7
SKU0104,Storage,Baskets,2020-09-01,3541.35,7057.6
SKU0105,Storage,Organisers,2019-07-01,6614.18,10376.74
SKU0106,Small Appliances,Air Fryers,2021-03-01,3596.8,9258.42
SKU0107,Small Appliances,Kettles,2021-08-01,3826.02,10411.27
SKU0108,Storage,Organisers,2020-04-01,6679.7,10277.79
SKU0109,Bedding,Duvets,2020-10-01,4960.59,9952.84
SKU0110,Furnishings,Shelving,2020-03-01,4002.89,7876.57
SKU0111,Small Appliances,Kettles,2021-05-01,4535.17,10098.03
SKU0112,Decor,Lighting,2019-12-01,3370.14,7711.83
SKU0113,Bedding,Mattress Toppers,2020-01-01,925.82,1624.4
SKU0114,Decor,Mirrors,2021-10-01,3078.36,7035.77
SKU0115,Storage,Organisers,2020-12-01,3739.21,7069.34
SKU0116,Decor,Lighting,2021-04-01,2661.27,6888.99
SKU0117,Decor,Vases,2019-12-01,3976.75,10177.84
SKU0118,Storage,Hangers,2020-02-01,6694.5,12545.46
SKU0119,Small Appliances,Blenders,2020-01-01,5722.54,9170.56
SKU0120,Furnishings,Sofas,2021-05-01,5639.86,9035.32
SKU0121,Bedding,Pillows,2019-10-01,2417.85,5236.92
SKU0122,Small Appliances,Blenders,2019-05-01,7540.3,16319.97
SKU0123,Furnishings,Shelving,2020-02-01,4700.77,11744.04
SKU0124,Storage,Organisers,2019-04-01,1123.92,2948.17
SKU0125,Storage,Hangers,2021-04-01,6250.41,12554.6
SKU0126,Bedding,Bed Sheets,2021-07-01,2581.97,6180.32
SKU0127,Storage,Baskets,2019-11-01,1846.0,4535.04
SKU0128,Decor,Vases,2019-09-01,785.51,1103.08
SKU0129,Storage,Racks,2020-01-01,2005.51,5076.21
SKU0130,Bedding,Pillows,2021-04-01,7406.51,19705.2
SKU0131,Storage,Boxes,2020-02-01,4447.59,10835.29
SKU0132,Small Appliances,Blenders,2019-01-01,1494.2,2827.29
SKU0133,Storage,Organisers,2020-02-01,3855.84,7274.22
SKU0134,Bedding,Bed Sheets,2021-09-01,4051.6,6193.71
SKU0135,Furnishings,Shelving,2021-06-01,4908.97,7075.71
SKU0136,Storage,Hangers,2019-11-01,6607.09,15341.63
SKU0137,Decor,Clocks,2021-11-01,3649.39,6733.31
SKU0138,Bedding,Mattress Toppers,2019-08-01,2914.1,5633.81
SKU0139,Furnishings,Tables,2020-07-01,5610.65,10442.25
SKU0140,Storage,Baskets,2020-02-01,2653.23,5086.87
SKU0141,Bedding,Pillows,2021-09-01,3803.42,5654.65
SKU0142,Storage,Organisers,2021-08-01,5078.19,13284.47
SKU0143,Decor,Mirrors,2021-03-01,7435.85,15622.61
SKU0144,Furnishings,Sofas,2021-10-01,6434.65,16316.04
SKU0145,Furnishings,Cabinets,2020-02-01,1952.67,5362.52
SKU0146,Furnishings,Tables,2020-12-01,2476.52,6262.27
SKU0147,Bedding,Mattress Toppers,2019-08-01,4499.87,9061.56
SKU0148,Storage,Hangers,2021-03-01,6939.41,12782.36
SKU0149,Bedding,Bed Sheets,2021-05-01,6600.29,12227.32
SKU0150,Small Appliances,Kettles,2021-11-01,4019.19,6582.44
SKU0151,Storage,Racks,2020-06-01,4504.96,10223.95
SKU0152,Bedding,Bed Sheets,2019-12-01,2062.68,4151.67
SKU0153,Bedding,Pillows,2020-12-01,3889.21,11128.93
SKU0154,Bedding,Mattress Toppers,2021-11-01,7850.38,17212.16
SKU0155,Furnishings,Tables,2021-10-01,2789.56,4353.34
SKU0156,Furnishings,Cabinets,2020-01-01,5835.06,11996.68
SKU0157,Decor,Lighting,2020-05-01,2840.78,7125.61
SKU0158,Small Appliances,Kettles,2020-06-01,5089.03,14350.57
SKU0159,Bedding,Pillows,2021-02-01,2031.21,5067.95
SKU0160,Small Appliances,Blenders,2021-02-01,3584.98,5583.64
SKU0161,Furnishings,Shelving,2019-12-01,2535.84,3667.62
SKU0162,Furnishings,Chairs,2020-06-01,3559.36,6373.8
SKU0163,Decor,Vases,2019-02-01,4954.04,9967.88
SKU0164,Bedding,Duvets,2019-08-01,5175.66,11051.65
SKU0165,Furnishings,Shelving,2020-11-01,4463.47,6776.35
SKU0166,Storage,Organisers,2021-07-01,5584.45,11900.11
SKU0167,Small Appliances,Blenders,2020-08-01,1031.9,2074.31
SKU0168,Small Appliances,Kettles,2020-12-01,2502.8,7420.08
SKU0169,Bedding,Bed Sheets,2019-10-01,6947.53,18378.29
SKU0170,Furnishings,Cabinets,2021-08-01,6696.14,19048.48
SKU0171,Decor,Rugs,2020-04-01,5165.62,12363.53
SKU0172,Decor,Candles,2019-11-01,5241.46,9928.86
SKU0173,Storage,Organisers,2021-03-01,903.04,1690.65
SKU0174,Bedding,Duvets,2019-03-01,6334.8,17752.24
SKU0175,Small Appliances,Kettles,2021-05-01,6677.69,12094.31
SKU0176,Bedding,Bed Sheets,2021-06-01,6473.01,13912.64
SKU0177,Furnishings,Tables,2019-11-01,5848.89,17358.97
SKU0178,Storage,Organisers,2019-07-01,308.57,696.91
SKU0179,Bedding,Bed Sheets,2021-12-01,5444.26,12713.96
SKU0180,Small Appliances,Coffee Makers,2021-04-01,3877.52,9272.22
SKU0181,Storage,Organisers,2023-11-08,5251.69,12691.48
SKU0182,Bedding,Bed Sheets,2023-10-04,1290.26,3759.84
SKU0183,Small Appliances,Air Fryers,2023-07-04,2031.44,4591.21
SKU0184,Bedding,Mattress Toppers,2023-09-22,7605.17,19122.24
SKU0185,Storage,Racks,2023-11-24,5867.47,16526.68
SKU0186,Furnishings,Shelving,2023-11-14,7524.61,13902.35
SKU0187,Decor,Clocks,2023-10-08,6872.51,10714.02
SKU0188,Storage,Organisers,2023-07-13,2351.88,6936.0
SKU0189,Bedding,Pillows,2023-08-21,5188.04,15324.17
SKU0190,Furnishings,Chairs,2023-08-05,6338.43,10954.89
SKU0191,Storage,Boxes,2023-11-07,6541.81,11597.31
SKU0192,Decor,Rugs,2023-07-09,6895.57,11250.13
SKU0193,Small Appliances,Blenders,2023-07-22,6958.29,11209.01
SKU0194,Small Appliances,Blenders,2023-11-11,323.09,589.51
SKU0195,Decor,Candles,2023-10-17,1086.46,1631.53
SKU0196,Small Appliances,Kettles,2023-11-04,3725.64,6536.56
SKU0197,Storage,Baskets,2023-11-10,3772.73,11101.04
SKU0198,Furnishings,Shelving,2023-10-14,5551.56,12127.0
SKU0199,Furnishings,Sofas,2023-09-20,1357.0,2173.79
SKU0200,Storage,Hangers,2023-09-13,7958.1,17896.9
