date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2023-12-18,SKU0001,163,0,7.0,33
2023-12-25,SKU0001,131,0,7.0,33
2022-01-03,SKU0002,108,0,10.0,22
2022-01-10,SKU0002,89,0,10.0,22
2022-01-17,SKU0002,74,0,10.0,22
2022-01-24,SKU0002,65,0,,22
2022-01-31,SKU0002,49,0,10.0,22
2022-02-07,SKU0002,31,0,10.0,22
2022-02-14,SKU0002,119,103,10.0,22
2022-02-21,SKU0002,102,0,10.0,22
2022-02-28,SKU0002,93,0,10.0,22
2022-03-07,SKU0002,84,0,10.0,22
2022-03-14,SKU0002,73,0,10.0,22
2022-03-21,SKU0002,65,0,10.0,22
2022-03-28,SKU0002,55,0,10.0,22
2022-04-04,SKU0002,46,0,10.0,22
2022-04-11,SKU0002,34,0,10.0,22
2022-04-18,SKU0002,136,145,10.0,22
2022-04-25,SKU0002,127,0,10.0,22
2022-05-02,SKU0002,118,0,10.0,22
2022-05-09,SKU0002,105,0,10.0,22
2022-05-16,SKU0002,94,0,10.0,22
2022-05-23,SKU0002,82,0,10.0,22
2022-05-30,SKU0002,70,0,10.0,22
2022-06-06,SKU0002,64,0,10.0,22
2022-06-13,SKU0002,52,0,10.0,22
2022-06-20,SKU0002,44,0,10.0,22
2022-06-27,SKU0002,39,0,10.0,22
2022-07-04,SKU0002,33,0,10.0,22
2022-07-11,SKU0002,28,0,10.0,22
2022-07-18,SKU0002,23,0,10.0,22
2022-07-25,SKU0002,13,84,10.0,22
2022-08-01,SKU0002,104,153,10.0,22
2022-08-08,SKU0002,99,0,10.0,22
2022-08-15,SKU0002,92,0,10.0,22
2022-08-22,SKU0002,86,0,10.0,22
2022-08-29,SKU0002,79,0,10.0,22
2022-09-05,SKU0002,62,0,10.0,22
2022-09-12,SKU0002,51,0,10.0,22
2022-09-19,SKU0002,40,0,10.0,22
2022-09-26,SKU0002,27,0,10.0,22
2022-10-03,SKU0002,11,87,10.0,22
2022-10-10,SKU0002,1,102,10.0,22
2022-10-17,SKU0002,66,119,10.0,22
2022-10-24,SKU0002,55,0,10.0,22
2022-10-31,SKU0002,42,0,10.0,22
2022-11-07,SKU0002,32,0,10.0,22
2022-11-14,SKU0002,23,0,10.0,22
2022-11-21,SKU0002,122,135,10.0,22
2022-11-28,SKU0002,109,0,10.0,22
2022-12-05,SKU0002,91,0,10.0,22
2022-12-12,SKU0002,72,0,10.0,22
2022-12-19,SKU0002,63,0,10.0,22
2022-12-26,SKU0002,45,0,10.0,22
2023-01-02,SKU0002,29,0,10.0,22
2023-01-09,SKU0002,136,85,10.0,22
2023-01-16,SKU0002,125,0,10.0,22
2023-01-23,SKU0002,106,0,10.0,22
2023-01-30,SKU0002,89,0,10.0,22
2023-02-06,SKU0002,80,0,10.0,22
2023-02-13,SKU0002,70,0,10.0,22
2023-02-20,SKU0002,54,0,10.0,22
2023-02-27,SKU0002,38,0,10.0,22
2023-03-06,SKU0002,25,0,10.0,22
2023-03-13,SKU0002,17,107,10.0,22
2023-03-20,SKU0002,8,151,10.0,22
2023-03-27,SKU0002,0,163,10.0,22
2023-04-03,SKU0002,0,87,10.0,22
2023-04-10,SKU0002,0,88,10.0,22
2023-04-17,SKU0002,0,128,10.0,22
2023-04-24,SKU0002,0,150,10.0,22
2023-05-01,SKU0002,103,93,10.0,22
2023-05-08,SKU0002,93,0,10.0,22
2023-05-15,SKU0002,86,0,10.0,22
2023-05-22,SKU0002,80,0,10.0,22
2023-05-29,SKU0002,73,0,10.0,22
2023-06-05,SKU0002,67,0,10.0,22
2023-06-12,SKU0002,61,0,10.0,22
2023-06-19,SKU0002,55,0,10.0,22
2023-06-26,SKU0002,44,0,10.0,22
2023-07-03,SKU0002,38,0,10.0,22
2023-07-10,SKU0002,29,0,10.0,22
2023-07-17,SKU0002,20,109,10.0,22
2023-07-24,SKU0002,9,162,10.0,22
2023-07-31,SKU0002,0,158,,22
2023-08-07,SKU0002,0,103,10.0,22
2023-08-14,SKU0002,0,155,10.0,22
2023-08-21,SKU0002,123,144,10.0,22
2023-08-28,SKU0002,112,0,10.0,22
2023-09-04,SKU0002,97,0,10.0,22
2023-09-11,SKU0002,84,0,10.0,22
2023-09-18,SKU0002,69,0,10.0,22
2023-09-25,SKU0002,54,0,10.0,22
2023-10-02,SKU0002,43,0,10.0,22
2023-10-09,SKU0002,27,0,10.0,22
2023-10-16,SKU0002,10,161,10.0,22
2023-10-23,SKU0002,0,135,10.0,22
2023-10-30,SKU0002,0,133,10.0,22
2023-11-06,SKU0002,0,106,10.0,22
2023-11-13,SKU0002,0,118,10.0,22
2023-11-20,SKU0002,0,83,10.0,22
2023-11-27,SKU0002,98,144,10.0,22
2023-12-04,SKU0002,90,0,10.0,22
2023-12-11,SKU0002,77,0,10.0,22
2023-12-18,SKU0002,63,0,10.0,22
2023-12-25,SKU0002,49,0,10.0,22
2022-01-03,SKU0003,76,0,10.0,56
2022-01-10,SKU0003,46,232,10.0,56
2022-01-17,SKU0003,20,378,10.0,56
2022-01-24,SKU0003,0,271,10.0,56
2022-01-31,SKU0003,0,296,10.0,56
2022-02-07,SKU0003,0,312,10.0,56
2022-02-14,SKU0003,0,223,10.0,56
2022-02-21,SKU0003,297,396,10.0,56
2022-02-28,SKU0003,263,0,10.0,56
2022-03-07,SKU0003,247,0,10.0,56
2022-03-14,SKU0003,226,0,10.0,56
2022-03-21,SKU0003,199,0,10.0,56
2022-03-28,SKU0003,171,0,10.0,56
2022-04-04,SKU0003,150,0,10.0,56
2022-04-11,SKU0003,118,0,10.0,56
2022-04-18,SKU0003,101,0,,56
2022-04-25,SKU0003,77,0,10.0,56
2022-05-02,SKU0003,60,0,10.0,56
2022-05-09,SKU0003,33,212,10.0,56
2022-05-16,SKU0003,297,299,10.0,56
2022-05-23,SKU0003,261,0,10.0,56
2022-05-30,SKU0003,236,0,10.0,56
2022-06-06,SKU0003,207,0,10.0,56
2022-06-13,SKU0003,178,0,10.0,56
2022-06-20,SKU0003,155,0,10.0,56
2022-06-27,SKU0003,142,0,10.0,56
2022-07-04,SKU0003,128,0,10.0,56
2022-07-11,SKU0003,109,0,10.0,56
2022-07-18,SKU0003,80,0,10.0,56
2022-07-25,SKU0003,60,0,10.0,56
2022-08-01,SKU0003,36,261,10.0,56
2022-08-08,SKU0003,7,353,10.0,56
2022-08-15,SKU0003,264,373,10.0,56
2022-08-22,SKU0003,241,0,10.0,56
2022-08-29,SKU0003,220,0,10.0,56
2022-09-05,SKU0003,200,0,,56
2022-09-12,SKU0003,175,0,10.0,56
2022-09-19,SKU0003,143,0,10.0,56
2022-09-26,SKU0003,111,0,10.0,56
2022-10-03,SKU0003,89,0,10.0,56
2022-10-10,SKU0003,58,0,10.0,56
2022-10-17,SKU0003,257,358,10.0,56
2022-10-24,SKU0003,221,0,10.0,56
2022-10-31,SKU0003,177,0,10.0,56
2022-11-07,SKU0003,151,0,10.0,56
2022-11-14,SKU0003,131,0,10.0,56
2022-11-21,SKU0003,109,0,10.0,56
2022-11-28,SKU0003,68,0,10.0,56
2022-12-05,SKU0003,215,401,10.0,56
2022-12-12,SKU0003,177,0,10.0,56
2022-12-19,SKU0003,136,0,10.0,56
2022-12-26,SKU0003,109,0,10.0,56
2023-01-02,SKU0003,87,0,10.0,56
2023-01-09,SKU0003,65,0,10.0,56
2023-01-16,SKU0003,18,280,10.0,56
2023-01-23,SKU0003,0,220,10.0,56
2023-01-30,SKU0003,0,314,10.0,56
2023-02-06,SKU0003,268,222,10.0,56
2023-02-13,SKU0003,244,0,10.0,56
2023-02-20,SKU0003,221,0,10.0,56
2023-02-27,SKU0003,183,0,10.0,56
2023-03-06,SKU0003,165,0,10.0,56
2023-03-13,SKU0003,149,0,10.0,56
2023-03-20,SKU0003,130,0,10.0,56
2023-03-27,SKU0003,107,0,10.0,56
2023-04-03,SKU0003,88,0,10.0,56
2023-04-10,SKU0003,70,0,10.0,56
2023-04-17,SKU0003,38,261,10.0,56
2023-04-24,SKU0003,238,406,10.0,56
2023-05-01,SKU0003,207,0,10.0,56
2023-05-08,SKU0003,184,0,10.0,56
2023-05-15,SKU0003,152,0,10.0,56
2023-05-22,SKU0003,134,0,10.0,56
2023-05-29,SKU0003,116,0,10.0,56
2023-06-05,SKU0003,98,0,10.0,56
2023-06-12,SKU0003,70,0,10.0,56
2023-06-19,SKU0003,50,236,10.0,56
2023-06-26,SKU0003,321,407,10.0,56
2023-07-03,SKU0003,301,0,10.0,56
2023-07-10,SKU0003,276,0,10.0,56
2023-07-17,SKU0003,257,0,10.0,56
2023-07-24,SKU0003,237,0,10.0,56
2023-07-31,SKU0003,218,0,10.0,56
2023-08-07,SKU0003,202,0,10.0,56
2023-08-14,SKU0003,188,0,10.0,56
2023-08-21,SKU0003,169,0,10.0,56
2023-08-28,SKU0003,143,0,10.0,56
2023-09-04,SKU0003,98,0,10.0,56
2023-09-11,SKU0003,69,0,10.0,56
2023-09-18,SKU0003,44,231,10.0,56
2023-09-25,SKU0003,3,241,10.0,56
2023-10-02,SKU0003,270,244,10.0,56
2023-10-09,SKU0003,224,0,10.0,56
2023-10-16,SKU0003,185,0,10.0,56
2023-10-23,SKU0003,153,0,10.0,56
2023-10-30,SKU0003,131,0,10.0,56
2023-11-06,SKU0003,85,0,10.0,56
2023-11-13,SKU0003,342,230,10.0,56
2023-11-20,SKU0003,311,0,10.0,56
2023-11-27,SKU0003,284,0,10.0,56
2023-12-04,SKU0003,249,0,10.0,56
2023-12-11,SKU0003,222,0,10.0,56
2023-12-18,SKU0003,176,0,10.0,56
2023-12-25,SKU0003,128,0,10.0,56
2022-01-03,SKU0004,242,0,10.0,162
2022-01-10,SKU0004,164,0,10.0,162
2022-01-17,SKU0004,79,856,10.0,162
2022-01-24,SKU0004,0,1029,10.0,162
2022-01-31,SKU0004,645,938,10.0,162
2022-02-07,SKU0004,573,0,10.0,162
2022-02-14,SKU0004,479,0,10.0,162
2022-02-21,SKU0004,408,0,10.0,162
2022-02-28,SKU0004,300,0,10.0,162
2022-03-07,SKU0004,239,0,10.0,162
2022-03-14,SKU0004,168,0,10.0,162
2022-03-21,SKU0004,933,662,10.0,162
2022-03-28,SKU0004,877,0,10.0,162
2022-04-04,SKU0004,787,0,10.0,162
2022-04-11,SKU0004,698,0,10.0,162
2022-04-18,SKU0004,618,0,10.0,162
2022-04-25,SKU0004,561,0,10.0,162
2022-05-02,SKU0004,464,0,10.0,162
2022-05-09,SKU0004,387,0,10.0,162
2022-05-16,SKU0004,304,0,10.0,162
2022-05-23,SKU0004,248,0,10.0,162
2022-05-30,SKU0004,176,0,10.0,162
2022-06-06,SKU0004,130,902,10.0,162
2022-06-13,SKU0004,683,676,10.0,162
2022-06-20,SKU0004,617,0,10.0,162
2022-06-27,SKU0004,547,0,10.0,162
2022-07-04,SKU0004,501,0,10.0,162
2022-07-11,SKU0004,428,0,10.0,162
2022-07-18,SKU0004,386,0,10.0,162
2022-07-25,SKU0004,342,0,10.0,162
2022-08-01,SKU0004,259,0,10.0,162
2022-08-08,SKU0004,213,0,10.0,162
2022-08-15,SKU0004,904,815,10.0,162
2022-08-22,SKU0004,859,0,10.0,162
2022-08-29,SKU0004,788,0,10.0,162
2022-09-05,SKU0004,689,0,10.0,162
2022-09-12,SKU0004,562,0,10.0,162
2022-09-19,SKU0004,434,0,10.0,162
2022-09-26,SKU0004,325,0,10.0,162
2022-10-03,SKU0004,259,0,10.0,162
2022-10-10,SKU0004,130,1196,10.0,162
2022-10-17,SKU0004,880,867,10.0,162
2022-10-24,SKU0004,822,0,10.0,162
2022-10-31,SKU0004,720,0,10.0,162
2022-11-07,SKU0004,622,0,10.0,162
2022-11-14,SKU0004,542,0,10.0,162
2022-11-21,SKU0004,484,0,10.0,162
2022-11-28,SKU0004,365,0,10.0,162
2022-12-05,SKU0004,235,0,10.0,162
2022-12-12,SKU0004,118,1035,10.0,162
2022-12-19,SKU0004,545,1070,10.0,162
2022-12-26,SKU0004,480,0,10.0,162
2023-01-02,SKU0004,366,0,10.0,162
2023-01-09,SKU0004,296,0,10.0,162
2023-01-16,SKU0004,231,0,10.0,162
2023-01-23,SKU0004,771,847,10.0,162
2023-01-30,SKU0004,689,0,10.0,162
2023-02-06,SKU0004,554,0,10.0,162
2023-02-13,SKU0004,474,0,10.0,162
2023-02-20,SKU0004,397,0,10.0,162
2023-02-27,SKU0004,290,0,10.0,162
2023-03-06,SKU0004,188,0,10.0,162
2023-03-13,SKU0004,121,874,10.0,162
2023-03-20,SKU0004,51,653,10.0,162
2023-03-27,SKU0004,0,610,10.0,162
2023-04-03,SKU0004,565,820,10.0,162
2023-04-10,SKU0004,509,0,10.0,162
2023-04-17,SKU0004,405,0,10.0,162
2023-04-24,SKU0004,323,0,10.0,162
2023-05-01,SKU0004,267,0,10.0,162
2023-05-08,SKU0004,188,0,10.0,162
2023-05-15,SKU0004,129,962,10.0,162
2023-05-22,SKU0004,791,905,10.0,162
2023-05-29,SKU0004,690,0,10.0,162
2023-06-05,SKU0004,626,0,,162
2023-06-12,SKU0004,578,0,10.0,162
2023-06-19,SKU0004,494,0,10.0,162
2023-06-26,SKU0004,407,0,10.0,162
2023-07-03,SKU0004,363,0,10.0,162
2023-07-10,SKU0004,288,0,10.0,162
2023-07-17,SKU0004,234,0,10.0,162
2023-07-24,SKU0004,176,0,10.0,162
2023-07-31,SKU0004,92,803,10.0,162
2023-08-07,SKU0004,51,938,10.0,162
2023-08-14,SKU0004,0,753,10.0,162
2023-08-21,SKU0004,491,1050,10.0,162
2023-08-28,SKU0004,441,0,10.0,162
2023-09-04,SKU0004,313,0,10.0,162
2023-09-11,SKU0004,240,0,10.0,162
2023-09-18,SKU0004,115,887,10.0,162
2023-09-25,SKU0004,0,1037,10.0,162
2023-10-02,SKU0004,0,1200,10.0,162
2023-10-09,SKU0004,0,1182,10.0,162
2023-10-16,SKU0004,0,956,10.0,162
2023-10-23,SKU0004,0,986,10.0,162
2023-10-30,SKU0004,884,932,10.0,162
2023-11-06,SKU0004,788,0,10.0,162
2023-11-13,SKU0004,693,0,10.0,162
2023-11-20,SKU0004,618,0,10.0,162
2023-11-27,SKU0004,523,0,10.0,162
2023-12-04,SKU0004,452,0,10.0,162
2023-12-11,SKU0004,374,0,10.0,162
2023-12-18,SKU0004,278,0,10.0,162
2023-12-25,SKU0004,656,1161,10.0,162
2022-01-03,SKU0005,44,133,30.0,59
2022-01-10,SKU0005,112,77,30.0,59
2022-01-17,SKU0005,104,0,30.0,59
2022-01-24,SKU0005,95,0,30.0,59
2022-01-31,SKU0005,83,0,30.0,59
2022-02-07,SKU0005,69,0,30.0,59
2022-02-14,SKU0005,61,0,30.0,59
2022-02-21,SKU0005,45,134,30.0,59
2022-02-28,SKU0005,28,140,30.0,59
2022-03-07,SKU0005,23,124,30.0,59
2022-03-14,SKU0005,17,109,30.0,59
2022-03-21,SKU0005,83,102,30.0,59
2022-03-28,SKU0005,73,0,30.0,59
2022-04-04,SKU0005,68,0,30.0,59
2022-04-11,SKU0005,63,0,30.0,59
2022-04-18,SKU0005,136,80,30.0,59
2022-04-25,SKU0005,130,0,30.0,59
2022-05-02,SKU0005,124,0,30.0,59
2022-05-09,SKU0005,112,0,30.0,59
2022-05-16,SKU0005,100,0,30.0,59
2022-05-23,SKU0005,94,0,30.0,59
2022-05-30,SKU0005,88,0,30.0,59
2022-06-06,SKU0005,78,0,30.0,59
2022-06-13,SKU0005,71,0,30.0,59
2022-06-20,SKU0005,62,0,30.0,59
2022-06-27,SKU0005,56,83,30.0,59
2022-07-04,SKU0005,49,93,30.0,59
2022-07-11,SKU0005,141,105,30.0,59
2022-07-18,SKU0005,132,0,30.0,59
2022-07-25,SKU0005,124,0,30.0,59
2022-08-01,SKU0005,114,0,30.0,59
2022-08-08,SKU0005,108,0,30.0,59
2022-08-15,SKU0005,98,0,30.0,59
2022-08-22,SKU0005,89,0,30.0,59
2022-08-29,SKU0005,79,0,30.0,59
2022-09-05,SKU0005,70,0,30.0,59
2022-09-12,SKU0005,61,0,30.0,59
2022-09-19,SKU0005,143,84,30.0,59
2022-09-26,SKU0005,129,0,30.0,59
2022-10-03,SKU0005,121,0,30.0,59
2022-10-10,SKU0005,106,0,30.0,59
2022-10-17,SKU0005,99,0,30.0,59
2022-10-24,SKU0005,90,0,30.0,59
2022-10-31,SKU0005,78,0,30.0,59
2022-11-07,SKU0005,63,0,30.0,59
2022-11-14,SKU0005,54,124,30.0,59
2022-11-21,SKU0005,42,96,30.0,59
2022-11-28,SKU0005,27,80,30.0,59
2022-12-05,SKU0005,10,115,30.0,59
2022-12-12,SKU0005,0,76,30.0,59
2022-12-19,SKU0005,65,79,30.0,59
2022-12-26,SKU0005,164,114,30.0,59
2023-01-02,SKU0005,154,0,30.0,59
2023-01-09,SKU0005,142,0,30.0,59
2023-01-16,SKU0005,134,0,30.0,59
2023-01-23,SKU0005,118,0,30.0,59
2023-01-30,SKU0005,105,0,30.0,59
2023-02-06,SKU0005,90,0,,59
2023-02-13,SKU0005,81,0,30.0,59
2023-02-20,SKU0005,65,0,30.0,59
2023-02-27,SKU0005,104,115,30.0,59
2023-03-06,SKU0005,94,0,30.0,59
2023-03-13,SKU0005,86,0,30.0,59
2023-03-20,SKU0005,76,0,30.0,59
2023-03-27,SKU0005,64,0,30.0,59
2023-04-03,SKU0005,54,140,30.0,59
2023-04-10,SKU0005,44,111,30.0,59
2023-04-17,SKU0005,35,97,30.0,59
2023-04-24,SKU0005,28,78,30.0,59
2023-05-01,SKU0005,18,104,,59
2023-05-08,SKU0005,9,117,30.0,59
2023-05-15,SKU0005,4,121,30.0,59
2023-05-22,SKU0005,108,131,30.0,59
2023-05-29,SKU0005,100,0,30.0,59
2023-06-05,SKU0005,95,0,30.0,59
2023-06-12,SKU0005,88,0,30.0,59
2023-06-19,SKU0005,80,0,30.0,59
2023-06-26,SKU0005,74,0,30.0,59
2023-07-03,SKU0005,68,0,30.0,59
2023-07-10,SKU0005,125,81,30.0,59
2023-07-17,SKU0005,118,0,30.0,59
2023-07-24,SKU0005,108,0,30.0,59
2023-07-31,SKU0005,100,0,30.0,59
2023-08-07,SKU0005,93,0,30.0,59
2023-08-14,SKU0005,87,0,30.0,59
2023-08-21,SKU0005,78,0,30.0,59
2023-08-28,SKU0005,68,0,30.0,59
2023-09-04,SKU0005,61,0,30.0,59
2023-09-11,SKU0005,53,140,30.0,59
2023-09-18,SKU0005,42,96,30.0,59
2023-09-25,SKU0005,123,132,30.0,59
2023-10-02,SKU0005,113,0,30.0,59
2023-10-09,SKU0005,98,0,30.0,59
2023-10-16,SKU0005,86,0,,59
2023-10-23,SKU0005,71,0,30.0,59
2023-10-30,SKU0005,60,0,30.0,59
2023-11-06,SKU0005,47,116,30.0,59
2023-11-13,SKU0005,94,113,30.0,59
2023-11-20,SKU0005,87,0,30.0,59
2023-11-27,SKU0005,76,0,30.0,59
2023-12-04,SKU0005,60,0,30.0,59
2023-12-11,SKU0005,48,75,30.0,59
2023-12-18,SKU0005,90,78,30.0,59
2023-12-25,SKU0005,75,0,30.0,59
2022-01-03,SKU0006,64,0,14.0,27
2022-01-10,SKU0006,52,0,14.0,27
2022-01-17,SKU0006,38,0,14.0,27
2022-01-24,SKU0006,30,0,,27
2022-01-31,SKU0006,19,109,14.0,27
2022-02-07,SKU0006,118,144,14.0,27
2022-02-14,SKU0006,102,0,14.0,27
2022-02-21,SKU0006,88,0,14.0,27
2022-02-28,SKU0006,73,0,14.0,27
2022-03-07,SKU0006,65,0,14.0,27
2022-03-14,SKU0006,55,0,14.0,27
2022-03-21,SKU0006,49,0,14.0,27
2022-03-28,SKU0006,41,0,14.0,27
2022-04-04,SKU0006,33,0,14.0,27
2022-04-11,SKU0006,27,92,14.0,27
2022-04-18,SKU0006,105,91,14.0,27
2022-04-25,SKU0006,100,0,14.0,27
2022-05-02,SKU0006,90,0,14.0,27
2022-05-09,SKU0006,82,0,14.0,27
2022-05-16,SKU0006,72,0,14.0,27
2022-05-23,SKU0006,67,0,14.0,27
2022-05-30,SKU0006,59,0,14.0,27
2022-06-06,SKU0006,50,0,14.0,27
2022-06-13,SKU0006,44,0,14.0,27
2022-06-20,SKU0006,37,0,14.0,27
2022-06-27,SKU0006,29,0,14.0,27
2022-07-04,SKU0006,121,118,14.0,27
2022-07-11,SKU0006,111,0,,27
2022-07-18,SKU0006,101,0,14.0,27
2022-07-25,SKU0006,95,0,14.0,27
2022-08-01,SKU0006,87,0,14.0,27
2022-08-08,SKU0006,80,0,14.0,27
2022-08-15,SKU0006,70,0,14.0,27
2022-08-22,SKU0006,62,0,14.0,27
2022-08-29,SKU0006,54,0,14.0,27
2022-09-05,SKU0006,42,0,14.0,27
2022-09-12,SKU0006,30,0,14.0,27
2022-09-19,SKU0006,76,77,14.0,27
2022-09-26,SKU0006,65,0,14.0,27
2022-10-03,SKU0006,54,0,14.0,27
2022-10-10,SKU0006,41,0,14.0,27
2022-10-17,SKU0006,29,0,14.0,27
2022-10-24,SKU0006,88,111,14.0,27
2022-10-31,SKU0006,76,0,14.0,27
2022-11-07,SKU0006,62,0,14.0,27
2022-11-14,SKU0006,49,0,14.0,27
2022-11-21,SKU0006,36,0,14.0,27
2022-11-28,SKU0006,24,107,14.0,27
2022-12-05,SKU0006,9,118,14.0,27
2022-12-12,SKU0006,83,98,14.0,27
2022-12-19,SKU0006,67,0,14.0,27
2022-12-26,SKU0006,56,0,14.0,27
2023-01-02,SKU0006,45,0,14.0,27
2023-01-09,SKU0006,29,0,14.0,27
2023-01-16,SKU0006,15,82,14.0,27
2023-01-23,SKU0006,7,139,14.0,27
2023-01-30,SKU0006,57,131,14.0,27
2023-02-06,SKU0006,46,0,,27
2023-02-13,SKU0006,32,0,14.0,27
2023-02-20,SKU0006,80,102,14.0,27
2023-02-27,SKU0006,72,0,14.0,27
2023-03-06,SKU0006,65,0,14.0,27
2023-03-13,SKU0006,58,0,14.0,27
2023-03-20,SKU0006,51,0,14.0,27
2023-03-27,SKU0006,41,0,14.0,27
2023-04-03,SKU0006,35,0,14.0,27
2023-04-10,SKU0006,123,82,14.0,27
2023-04-17,SKU0006,114,0,14.0,27
2023-04-24,SKU0006,104,0,14.0,27
2023-05-01,SKU0006,92,0,14.0,27
2023-05-08,SKU0006,81,0,14.0,27
2023-05-15,SKU0006,74,0,14.0,27
2023-05-22,SKU0006,62,0,14.0,27
2023-05-29,SKU0006,50,0,14.0,27
2023-06-05,SKU0006,40,0,14.0,27
2023-06-12,SKU0006,33,0,14.0,27
2023-06-19,SKU0006,24,141,14.0,27
2023-06-26,SKU0006,118,117,14.0,27
2023-07-03,SKU0006,109,0,14.0,27
2023-07-10,SKU0006,104,0,14.0,27
2023-07-17,SKU0006,97,0,14.0,27
2023-07-24,SKU0006,87,0,14.0,27
2023-07-31,SKU0006,80,0,14.0,27
2023-08-07,SKU0006,73,0,14.0,27
2023-08-14,SKU0006,64,0,14.0,27
2023-08-21,SKU0006,56,0,14.0,27
2023-08-28,SKU0006,49,0,14.0,27
